X	Y
10,5	10,8
28,6	26,6
24,2	25,2
32	30,5
28,6	27,9
13,4	12,3
23,3	24,3
10,3	9,29
5,34	5,03
9,22	8,36
13,2	13,1
20,1	20,1
9,43	9,57
14,5	13,9
12,4	10,7
7,79	7,53
18	18,8
2,26	1,28
5,59	5,82
6,4	5,54
3,11	4,1
11,9	12
15,3	15,4
19,1	19,8
15,6	16,9
20,6	22,6
1,93	2,58
12,6	13,3
22,3	22
20,9	20,7
18,5	17,6
14,7	14,5
7,45	6,65
22,2	22,7
2	1,19
1,53	1,07
1,180	0,917
0,820	0,797
0,383	0,738
1,97	2,39
2,02	2,03
3,14	3,68
3,39	3,53
2,84	3,2
2,7	3,23
2,71	2,9
5	4,61
8,85	8,39
10,5	10,2
15,4	14,9
15,8	15,4
16	17,1
17,6	18,7
