X	Y
6,43	5,55
5,38	5,09
10,6	10,9
12,5	10,7
9,46	9,63
10,3	9,36
9,25	8,34
20,1	20,2
19,2	20
18,5	17,5
24,2	25,4
20,7	22,8
32	30,4
28,6	27,9
2,3	1,33
7,48	6,76
3,14	4,16
11,9	12,1
7,82	7,64
13,3	13
28,6	26,6
5,63	5,83
15,3	15,2
22,3	22,2
23,3	24,4
21	20,8
15,6	17
2	2,68
10,6	10,1
18,1	19
14,5	14
12,6	13,3
15,8	15,6
13,4	12,3
2,8	3,14
1,92	1,24
1,56	1,09
1,19	0,993
0,767	0,896
0,399	0,780
1,99	2,34
2,05	1,96
2,68	2,92
2,64	3,29
3,17	3,63
3,43	3,48
5,02	4,64
14,7	14,5
15,4	15
16,1	17,1
17,6	18,6
18,5	17,6
22,2	22,7
